Date,Time,Racetrack,Horse,QS,Odds,Percentage,W/L/NR,Bet Type,Bookie,Bet Placed or Rejected,Bet ID,Winnings
2025-02-04,17:00,Newcastle,Spartan Fighter,30,6,100,0,single,888sport,Placed,PUBRFKIR,0.00
2025-02-03,13:00,Punchestown,Vanillier,40,8.5,94,1,lucky15,888sport,Placed,GJBZEWJP,0.85
2025-02-04,13:10,Market,Gms Prince,34,7,95,0,lucky15,888sport,Placed,SLMFXMBX,0.90
2025-02-04,16:05,Taunton,Moonlight Artist,68,7.5,99,0,lucky15,888sport,Placed,YUJEBNOV,0.90
2025-02-03,17:00,Wolverhampton,Inconspicuous,142,9.5,100,0,single,paddypower,Placed,PWICPWMR,0.00
2025-02-03,14:10,Southwell,Karton Plein,61,3.25,105,1,single,888sport,Placed,UDNGDSET,4.88
2025-02-03,18:30,Wolverhampton,Level Up,134,4.33,103,0,patent,888sport,Placed,SOFMAIZI,0.42
2025-02-03,14:55,Carlisle,Similar Story,53,6,100,0,single,888sport,Placed,HMMTYHMK,0.00
2025-02-03,13:40,Southwell,Balkardy,91,12,100,0,lucky15,888sport,Placed,TWDLQCFB,0.85
2025-02-04,17:30,Newcastle,Mereside Madness,140,9,100,1,lucky15,888sport,Placed,YUJEBNOV,0.90
2025-02-03,13:10,Southwell,West Warhorse,254,13,118,0,lucky15,888sport,Placed,LDXDAPBL,0.00
2025-02-03,20:30,Wolverhampton,Not Just Yet,308,8,111,0,lucky15,888sport,Placed,ABDKLZDP,0.65
2025-02-04,18:00,Newcastle,Bellagio Man,313,7,106,0,single,888sport,Placed,PFHVIFUQ,0.00
2025-02-03,16:20,Southwell,Just Chasing May,34,5.5,100,0,lucky15,888sport,Placed,WWTZTGDU,0.85
2025-02-04,14:40,Market,Voix De Bocelli,108,9,98,0,lucky15,888sport,Placed,SLMFXMBX,0.90
2025-02-03,13:40,Southwell,Balkardy,91,12,100,0,lucky15,888sport,Placed,MTORNDRJ,0.85
2025-02-03,14:45,Southwell,Elforleather,60,6,107,0,lucky15,888sport,Placed,DLTCGQHZ,0.00
2025-02-03,17:00,Wolverhampton,Inconspicuous,142,10,100,0,single,888sport,Placed,QJGZSUBO,0.00
2025-02-03,16:20,Southwell,Just Chasing May,34,5.5,100,0,single,888sport,Placed,QGTNNVQD,0.00
2025-02-03,19:30,Wolverhampton,Harlington,85,7,104,0,single,888sport,Placed,KUJEVMRW,0.00
2025-02-03,13:40,Southwell,Balkardy,91,12,100,0,lucky15,888sport,Placed,GJBZEWJP,0.85
2025-02-03,18:00,Wolverhampton,Unknown Journey,101,10,102,0,lucky15,888sport,Placed,ZHEAKSAO,0.65
