Date,Time,Racetrack,Horse,QS,Odds,Percentage,W/L/NR,Bet Type,Bookie,Bet Placed or Rejected
2025-01-02,14:50,Ayr,Step Above,140,10,95,0,lucky15,williamhill,Placed,DVBEXKCF
2025-01-01,16:40,Newcastle,Profit Street,31,7.5,99,0,lucky15,betfred,Placed,DHMUGYGZ
2025-01-01,13:45,Musselburgh,Bold Light,52,5.5,102,1,single,boylesports,Placed,FUFKCGNH
2025-01-01,15:15,Cheltenham,Gowel Road,2126,10,100,0,trixie,williamhill,Placed,JFKHMJRR
2025-01-01,15:10,Fakenham,Morfee,69,11,100,0,single,sportingbet,Placed,CQRQFQEB
2025-01-02,14:50,Ayr,Step Above,48,10,95,0,lucky15,geoffbanks,Placed,YNWTJGTN
2025-01-02,18:10,Newcastle,Martins Brig,47,7,95,0,lucky15,geoffbanks,Placed,NWEJHDVT
2025-01-01,14:40,Cheltenham,Catch Him Derry,62,6.5,96,0,lucky15,bwin,Placed,EJKKLFDG
2025-01-01,16:40,Newcastle,Profit Street,341,6.5,99,0,trixie,williamhill,Placed,AAPLTRHR
2025-01-02,14:35,Huntingdon,Laskalin,39,6.5,96,0,lucky15,williamhill,Placed,QAMPPRVJ
2025-01-02,17:40,Newcastle,Alexander James,802,5.5,96,1,lucky15,geoffbanks,Placed,HVHMSEGQ
2025-01-01,16:10,Newcastle,Storm Star,227,8,100,1,trixie,888sport,Placed,ABHZDYQH
2025-01-01,14:55,Musselburgh,Rickety Gate,105,12,100,0,trixie,888sport,Placed,EYKRFYTU
2025-01-01,16:40,Newcastle,Profit Street,45,8,112,0,trixie,888sport,Placed,ABHZDYQH
2025-01-02,15:10,Huntingdon,Ask Me Another,519,4.5,100,0,single,sportingbet,Placed,JUZQXRSF
2025-01-01,12:50,Fakenham,Tarbat Ness,132,9.5,99,0,lucky15,betfred,Placed,JSSJBMER
2025-01-01,13:55,Catterick,Travis Wheatley,44,23,96,0,lucky15,williamhill,Placed,HTQBBEXO
2025-01-01,12:50,Fakenham,Tarbat Ness,135,9.5,99,0,lucky15,gentlemanjim,Placed,YSOPGPHM
2025-01-02,15:40,Huntingdon,Draco Malfoy,292,11,100,0,single,geoffbanks,Placed,HOEKYJOA
2025-01-01,12:50,Fakenham,Tarbat Ness,180,11,115,0,lucky15,888sport,Placed,DREJHDGT
2025-01-01,13:00,Exeter,Risk De Pluie,257,5.5,102,0,lucky15,888sport,Placed,DREJHDGT
2025-01-01,14:40,Cheltenham,Deep Cave,629,7,97,0,lucky15,williamhill,Placed,TLBZYGGO
2025-01-01,11:45,Fakenham,Crac De Megaudais,106,8,111,1,patent,888sport,Placed,VIRNKYPM
2025-01-01,14:40,Cheltenham,Idefix De Ciergues,389,12,104,0,trixie,betfred,Placed,ISMCQKDO
2025-01-01,13:50,Fairyhouse,Crossing The Bar,60,11,100,0,single,betgoodwin,Placed,IGVOHLQA
2025-01-01,14:30,Catterick,Ensel Du Perche,85,8.5,97,1,lucky15,bet600,Placed,MMMXAGLL
2025-01-01,16:40,Newcastle,Bellagio Man,58,11,96,0,lucky15,williamhill,Placed,DVIKSDQM
2025-01-01,13:10,Musselburgh,Winds Of Winter,40,4.33,100,0,patent,betfred,Placed,IYZBRIBM
2025-01-01,12:50,Fakenham,Tarbat Ness,132,9.5,99,0,lucky15,betfred,Placed,DHMUGYGZ
2025-01-01,13:39,Southwell,Socialiser,186,19,97,0,lucky15,888sport,Placed,DREJHDGT
2025-01-01,14:14,Southwell,Mermaids Cave,73,8.5,97,NR,lucky15,betgoodwin,Placed,CUMHOYFV
2025-01-02,17:10,Newcastle,Rodborough,932,23,113,0,single,sportingbet,Placed,UJVFWISE
2025-01-01,12:00,Tramore,Titanium,59,11,100,0,trixie,betfred,Placed,ISMCQKDO
2025-01-02,15:10,Huntingdon,Ask Me Another,519,4.5,100,0,single,sportingbet,Placed,IUAVIDTB
2025-01-01,14:49,Southwell,Afadil,49,9.5,102,0,patent,betfred,Placed,IYZBRIBM
2025-01-01,15:10,Fakenham,For Gina,42,8.5,109,0,single,betgoodwin,Placed,DBEZSNEN
2025-01-01,15:34,Newcastle,The Caltonian,152,19,95,1,lucky15,williamhill,Placed,UHQSXBOH
2025-01-02,15:10,Huntingdon,Call Blue,56,8,98,0,lucky15,williamhill,Placed,CZXKBPNS
2025-01-01,14:24,Newcastle,Ribba Hill,21,10,104,0,double,888sport,Placed,DHVXLPUI
2025-01-02,17:10,Newcastle,Rodborough,59,19,97,0,lucky15,williamhill,Placed,ZRILLEIZ
2025-01-02,14:35,Huntingdon,Laskalin,39,6.5,96,0,lucky15,williamhill,Placed,CZXKBPNS
2025-01-01,13:30,Cheltenham,Bowtogreatness,356,9,100,0,single,williamhill,Placed,OGTPQFRN
2025-01-01,14:14,Southwell,Masked Dance,69,12,96,NR,lucky15,gentlemanjim,Placed,QMLIMFSC
2025-01-02,15:10,Huntingdon,Call Blue,176,8.5,99,0,lucky15,geoffbanks,Placed,YNWTJGTN
2025-01-01,14:14,Southwell,Rialannah,163,17,100,0,single,betfred,Placed,FMIDFZHC
2025-01-01,12:15,Fakenham,Gazette Bourgeoise,56,3.75,101,1,trixie,888sport,Placed,EYKRFYTU
2025-01-01,14:14,Southwell,Rialannah,133,17,100,0,single,gentlemanjim,Placed,RABLRVEN
2025-01-02,13:25,Huntingdon,Slievegar,0,7,92,0,lucky15,williamhill,Placed,HQIOPKFM
